param : 	storage_charge_time	storage_discharge_time := 
TJ	TS_DEC_HP_ELEC	4.0	4.0
TJ	TS_DEC_THHP_GAS	4.0	4.0
TJ	TS_DEC_COGEN_GAS	4.0	4.0
TJ	TS_DEC_COGEN_OIL	4.0	4.0
TJ	TS_DEC_ADVCOGEN_GAS	4.0	4.0
TJ	TS_DEC_ADVCOGEN_H2	4.0	4.0
TJ	TS_DEC_BOILER_GAS	4.0	4.0
TJ	TS_DEC_BOILER_WOOD	4.0	4.0
TJ	TS_DEC_BOILER_OIL	4.0	4.0
TJ	TS_DHN_DAILY	60.3	60.3
TJ	TS_DHN_SEASONAL	150.0	150.0
TJ	TS_HIGH_TEMP	2.0	2.0
TJ	GAS_STORAGE	2256.0	752.0
TJ	H2_STORAGE	4.0	4.0
TJ	DIESEL_STORAGE	168.0	168.0
TJ	GASOLINE_STORAGE	168.0	168.0
TJ	LFO_STORAGE	168.0	168.0
TJ	AMMONIA_STORAGE	168.0	168.0
TJ	METHANOL_STORAGE	168.0	168.0
TJ	CO2_STORAGE	1.0	1.0
;
